Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2024","2024","ha","3452","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01316","Mangoes, guavas and mangosteens","2024","2024","t","16377.32","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","t","47794","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21121","Meat of chickens, fresh or chilled","2024","2024","t","14486.7","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21116","Meat of goat, fresh or chilled","2024","2024","t","15395","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2024","2024","t","13248.14","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21114","Meat of rabbits and hares, fresh or chilled","2024","2024","t","14850.48","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21115","Meat of sheep, fresh or chilled","2024","2024","t","13653","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0118","Millet","2024","2024","ha","41528","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0118","Millet","2024","2024","t","30400","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01491.01","Oil palm fruit","2024","2024","ha","42069","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01491.01","Oil palm fruit","2024","2024","t","755056.96","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01239.01","Okra","2024","2024","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01239.01","Okra","2024","2024","t","89883.31","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","ha","5014","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","t","60169.87","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01323","Oranges","2024","2024","ha","6473","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01323","Oranges","2024","2024","t","15403.02","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01359.90","Other fruits, n.e.c.","2024","2024","ha","37612","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01359.90","Other fruits, n.e.c.","2024","2024","t","135283.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2024","2024","ha","5525","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2024","2024","t","1904.96","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2024","2024","ha","142","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01449.90","Other oil seeds, n.e.c.","2024","2024","t","169.95","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01709.90","Other pulses n.e.c.","2024","2024","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01709.90","Other pulses n.e.c.","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2024","2024","ha","16428","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2024","2024","t","184343.09","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01651","Pepper (Piper spp.), raw","2024","2024","ha","631","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01651","Pepper (Piper spp.), raw","2024","2024","t","182.61","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01707","Pigeon peas, dry","2024","2024","ha","15489","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01707","Pigeon peas, dry","2024","2024","t","12696.71","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01318","Pineapples","2024","2024","ha","7425","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01318","Pineapples","2024","2024","t","483538.83","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01510","Potatoes","2024","2024","ha","43","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01510","Potatoes","2024","2024","t","405.56","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","02951.01","Raw hides and skins of cattle","2024","2024","t","7838.22","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","02954","Raw hides and skins of goats or kids","2024","2024","t","2771.1","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","02953","Raw hides and skins of sheep or lambs","2024","2024","t","2457.54","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","02211","Raw milk of cattle","2024","2024","t","149567","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","02292","Raw milk of goats","2024","2024","t","38870.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0113","Rice","2024","2024","ha","128501","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0113","Rice","2024","2024","t","500605.34","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01921.01","Seed cotton, unginned","2024","2024","ha","535579","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01921.01","Seed cotton, unginned","2024","2024","t","635975.66","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01444","Sesame seed","2024","2024","ha","12000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","204","Benin","5510","Production","01444","Sesame seed","2024","2024","t","10000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","204","Benin","5510","Production","21514","Sheep fat, unrendered","2024","2024","t","409.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0114","Sorghum","2024","2024","ha","212347","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0114","Sorghum","2024","2024","t","279269.34","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0141","Soya beans","2024","2024","ha","638098","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0141","Soya beans","2024","2024","t","652453.9","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01802","Sugar cane","2024","2024","ha","2389","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01802","Sugar cane","2024","2024","t","80553.24","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01530","Sweet potatoes","2024","2024","ha","12318","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01530","Sweet potatoes","2024","2024","t","112412.55","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01550","Taro","2024","2024","ha","391","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01550","Taro","2024","2024","t","4887.07","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01234","Tomatoes","2024","2024","ha","40000","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01234","Tomatoes","2024","2024","t","287636.14","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01970","Unmanufactured tobacco","2024","2024","ha","5","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01970","Unmanufactured tobacco","2024","2024","t","3.17","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01540","Yams","2024","2024","ha","209313","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01540","Yams","2024","2024","t","3353473.27","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01371","Almonds, in shell","2024","2024","ha","3508","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01371","Almonds, in shell","2024","2024","t","1945.21","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01708","Bambara beans, dry","2024","2024","ha","58253","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01708","Bambara beans, dry","2024","2024","t","61247.74","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01312","Bananas","2024","2024","ha","1836","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01312","Bananas","2024","2024","t","46922.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01372","Cashew nuts, in shell","2024","2024","ha","124274","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01372","Cashew nuts, in shell","2024","2024","t","147616.86","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01520.01","Cassava, fresh","2024","2024","ha","1054","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01520.01","Cassava, fresh","2024","2024","t","16614.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21512","Cattle fat, unrendered","2024","2024","t","3267.5","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","ha","1638","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","8702.2","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01706","Cow peas, dry","2024","2024","ha","1520787","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01706","Cow peas, dry","2024","2024","t","736407.85","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2024","2024","t","23417.09","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2024","2024","t","5430.27","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2024","2024","t","13107.45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2024","2024","t","6149.94","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2024","2024","t","71.04","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21159.01","Edible offals of horses and other equines, fresh, chilled or frozen","2024","2024","t","19.79","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21519.02","Fat of camels","2024","2024","t","10.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21511.01","Fat of pigs","2024","2024","t","19800.62","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01193","Fonio","2024","2024","ha","21309","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01193","Fonio","2024","2024","t","15082.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2024","2024","t","7479.3","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21515","Goat fat, unrendered","2024","2024","t","793.65","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","0142","Groundnuts, excluding shelled","2024","2024","ha","730410","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0142","Groundnuts, excluding shelled","2024","2024","t","611270.54","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0231","Hen eggs in shell, fresh","2024","2024","t","68148.15","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5513","Production","0231","Hen eggs in shell, fresh","2024","2024","1000 No","1216931","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21118.01","Horse meat, fresh or chilled","2024","2024","t","167.74","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01499.01","Karite nuts (sheanuts)","2024","2024","ha","84528","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01499.01","Karite nuts (sheanuts)","2024","2024","t","105853.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01322","Lemons and limes","2024","2024","ha","46","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01322","Lemons and limes","2024","2024","t","320.99","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","1100000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0112","Maize (corn)","2024","2024","t","1850000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2024","2024","ha","1601","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01316","Mangoes, guavas and mangosteens","2024","2024","t","14616.53","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21118.02","Meat of asses, fresh or chilled","2024","2024","t","1834.96","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21117.01","Meat of camels, fresh or chilled","2024","2024","t","455.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","t","136145.87","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21121","Meat of chickens, fresh or chilled","2024","2024","t","168997.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21116","Meat of goat, fresh or chilled","2024","2024","t","20885.65","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2024","2024","t","192428.54","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21115","Meat of sheep, fresh or chilled","2024","2024","t","23653.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","0118","Millet","2024","2024","ha","1097359","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0118","Millet","2024","2024","t","931108.86","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02910","Natural honey","2024","2024","t","391.34","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01239.01","Okra","2024","2024","ha","3119","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01239.01","Okra","2024","2024","t","23859.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01253.01","Onions and shallots, green","2024","2024","ha","1061","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01253.01","Onions and shallots, green","2024","2024","t","17770.45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01323","Oranges","2024","2024","ha","138","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01323","Oranges","2024","2024","t","634.24","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01241.90","Other beans, green","2024","2024","ha","710","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01241.90","Other beans, green","2024","2024","t","9724.48","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01359.90","Other fruits, n.e.c.","2024","2024","ha","262869","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01359.90","Other fruits, n.e.c.","2024","2024","t","1467836.35","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21119.90","Other meat of mammals, fresh or chilled","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01709.90","Other pulses n.e.c.","2024","2024","ha","16738","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01709.90","Other pulses n.e.c.","2024","2024","t","17253.79","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2024","2024","ha","3486","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2024","2024","t","6533.53","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2024","2024","ha","2108","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01319","Other tropical fruits, n.e.c.","2024","2024","t","11467.26","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2024","2024","ha","134769","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2024","2024","t","1072766.69","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01651","Pepper (Piper spp.), raw","2024","2024","ha","98417","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01651","Pepper (Piper spp.), raw","2024","2024","t","77932.35","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01321","Pomelos and grapefruits","2024","2024","ha","17","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01321","Pomelos and grapefruits","2024","2024","t","257.71","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01510","Potatoes","2024","2024","ha","17382","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01510","Potatoes","2024","2024","t","33440.33","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02951.01","Raw hides and skins of cattle","2024","2024","t","22327.92","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02954","Raw hides and skins of goats or kids","2024","2024","t","5012.55","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02953","Raw hides and skins of sheep or lambs","2024","2024","t","5676.87","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02293","Raw milk of camel","2024","2024","t","267.52","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02211","Raw milk of cattle","2024","2024","t","225266.19","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02292","Raw milk of goats","2024","2024","t","132133.11","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02291","Raw milk of sheep","2024","2024","t","78650.15","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","0113","Rice","2024","2024","ha","230187","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0113","Rice","2024","2024","t","513234.03","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01921.01","Seed cotton, unginned","2024","2024","ha","651844","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01921.01","Seed cotton, unginned","2024","2024","t","769439.95","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","01444","Sesame seed","2024","2024","ha","427819","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01444","Sesame seed","2024","2024","t","272201.42","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21514","Sheep fat, unrendered","2024","2024","t","1040.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5312","Area harvested","0114","Sorghum","2024","2024","ha","1900000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0114","Sorghum","2024","2024","t","1900000","X","Value from external organization","Unofficial figure"
